Date,Actual,Goal
2022-05-31,0,8000
2022-06-01,0,8000
2022-06-02,0,8000
2022-06-03,1102,8000
2022-06-04,1254,8000
2022-06-05,1792,8000
2022-06-06,3723,8000
2022-06-07,1540,8000
2022-06-08,4388,8000
2022-06-09,0,8000
2022-06-10,5413,8000
2022-06-11,4027,8000
2022-06-12,3970,8000
2022-06-13,8372,8000
2022-06-14,6329,8000
2022-06-15,7125,8000
2022-06-16,3445,8000
2022-06-17,2866,8000
2022-06-18,2119,8000
2022-06-19,2691,8000
2022-06-20,8279,8000
2022-06-21,1863,8000
2022-06-22,3477,8000
2022-06-23,4863,8000
2022-06-24,4005,8000
2022-06-25,6105,8000
2022-06-26,5744,8000
2022-06-27,7564,8000
2022-06-28,7225,8000
2022-06-29,8819,8000
2022-06-30,5082,8000
2022-07-01,6819,8000
2022-07-02,5603,8000
2022-07-03,3336,8000
2022-07-04,8627,8000
2022-07-05,3148,8000
2022-07-06,3874,8000
2022-07-07,7867,8000
2022-07-08,5710,8000
2022-07-09,6174,8000
2022-07-10,7248,8000
2022-07-11,9562,8000
2022-07-12,2109,8000
2022-07-13,3602,8000
2022-07-14,5306,8000
2022-07-15,2850,8000
2022-07-16,6046,8000
2022-07-17,7494,8000
2022-07-18,9815,8000
2022-07-19,4395,8000
2022-07-20,7607,8000
2022-07-21,5318,8000
2022-07-22,3221,8000
2022-07-23,8151,8000
2022-07-24,3723,8000
2022-07-25,11480,8000
2022-07-26,6663,8000
2022-07-27,3685,8000
2022-07-28,3452,8000
2022-07-29,3739,8000
2022-07-30,2380,8000
2022-07-31,3561,8000
2022-08-01,9349,8000
2022-08-02,6159,8000
2022-08-03,6530,8000
2022-08-04,3517,8000
2022-08-05,3104,8000
2022-08-06,3169,8000
2022-08-07,3029,8000
2022-08-08,8572,8000
2022-08-09,4747,8000
2022-08-10,8983,8000
2022-08-11,3898,8000
2022-08-12,4260,8000
2022-08-13,8652,8000
2022-08-14,3673,8000
2022-08-15,4426,8000
2022-08-16,5324,8000
2022-08-17,4718,8000
2022-08-18,12084,8000
2022-08-19,5250,8000
2022-08-20,5347,8000
2022-08-21,4404,8000
2022-08-22,5721,8000
2022-08-23,9154,8000
2022-08-24,4310,8000
2022-08-25,0,8000
2022-08-26,4048,8000
2022-08-27,0,8000
2022-08-28,6917,8000
2022-08-29,5071,8000
2022-08-30,3893,8000
2022-08-31,5176,8000
2022-09-01,2425,8000
2022-09-02,8327,8000
2022-09-03,3122,8000
2022-09-04,8256,8000
2022-09-05,7863,8000
2022-09-06,7586,8000
2022-09-07,5364,8000
2022-09-08,5735,8000
2022-09-09,12348,8000
2022-09-10,3734,8000
2022-09-11,0,8000
2022-09-12,5209,8000
2022-09-13,6472,8000
2022-09-14,5028,8000
2022-09-15,4584,8000
2022-09-16,8159,8000
2022-09-17,7570,8000
2022-09-18,4649,8000
2022-09-19,2601,8000
2022-09-20,5278,8000
2022-09-21,7984,8000
2022-09-22,6401,8000
2022-09-23,9236,8000
2022-09-24,2674,8000
2022-09-25,2628,8000
2022-09-26,9773,8000
2022-09-27,7627,8000
2022-09-28,3634,8000
2022-09-29,9938,8000
2022-09-30,11797,8000
2022-10-01,0,8000
2022-10-02,8976,8000
2022-10-03,8323,8000
2022-10-04,9375,8000
2022-10-05,5989,8000
2022-10-06,3634,8000
2022-10-07,16035,8000
2022-10-08,4601,8000
2022-10-09,4186,8000
2022-10-10,7434,8000
2022-10-11,8381,8000
2022-10-12,5866,8000
2022-10-13,3111,8000
2022-10-14,11902,8000
2022-10-15,4137,8000
2022-10-16,3445,8000
2022-10-17,4581,8000
2022-10-18,4865,8000
2022-10-19,5900,8000
2022-10-20,5357,8000
2022-10-21,5780,8000
2022-10-22,3423,8000
2022-10-23,316,8000
2022-10-24,1322,8000
2022-10-25,1946,8000
2022-10-26,1786,8000
2022-10-27,3765,8000
2022-10-28,6460,8000
2022-10-29,2776,8000
2022-10-30,4112,8000
2022-10-31,4628,8000
2022-11-01,5228,8000
2022-11-02,3676,8000
2022-11-03,4379,8000
2022-11-04,6568,8000
2022-11-05,6982,8000
2022-11-06,5492,8000
2022-11-07,5623,8000
2022-11-08,5937,8000
2022-11-09,6729,8000
2022-11-10,3923,8000
2022-11-11,5641,8000
2022-11-12,2384,8000
2022-11-13,2937,8000
2022-11-14,9680,8000
2022-11-15,7150,8000
2022-11-16,5413,8000
2022-11-17,6068,8000
2022-11-18,5553,8000
2022-11-19,0,8000
2022-11-20,7029,8000
2022-11-21,8657,8000
2022-11-22,7346,8000
2022-11-23,7965,8000
2022-11-24,6515,8000
2022-11-25,3385,8000
2022-11-26,2860,8000
2022-11-27,7113,8000
2022-11-28,2532,8000
2022-11-29,8368,8000
2022-11-30,5391,8000
2022-12-01,3611,8000
